algorithm,n_tasks,n_vertices,n_edges,seed,run,time_ms,makespan,crosscheck_ok
A,1000,2002,4106,4,2,1.9524,430,1
A,1000,2002,4106,4,3,1.7811,430,1
A,1000,2002,4106,4,4,1.7087,430,1
A,1000,2002,4106,4,5,1.9289,430,1
B,1000,2002,4106,4,1,1438.3017,430,1
B,1000,2002,4106,4,2,1381.5895,430,1
B,1000,2002,4106,4,3,1308.4923,430,1
A,1000,2002,4042,5,1,1.6821,400,1
A,1000,2002,4042,5,2,2.0002,400,1
A,1000,2002,4042,5,3,1.7237,400,1
A,1000,2002,4042,5,4,1.6788,400,1
A,1000,2002,4042,5,5,1.7452,400,1
B,1000,2002,4042,5,1,1339.7507,400,1
B,1000,2002,4042,5,2,1305.8367,400,1
B,1000,2002,4042,5,3,1311.4579,400,1
A,3000,6002,12103,1,1,6.7321,763,1
A,3000,6002,12103,1,2,6.2126,763,1
A,3000,6002,12103,1,3,6.2351,763,1
A,3000,6002,12103,1,4,5.9202,763,1
A,3000,6002,12103,1,5,5.9917,763,1
B,3000,6002,12103,1,1,12176.3893,763,1
B,3000,6002,12103,1,2,13834.5949,763,1
A,3000,6002,12159,2,1,6.1398,785,1
A,3000,6002,12159,2,2,6.7057,785,1
A,3000,6002,12159,2,3,7.494,785,1
A,3000,6002,12159,2,4,6.2298,785,1
A,3000,6002,12159,2,5,6.6048,785,1
B,3000,6002,12159,2,1,12412.3054,785,1
B,3000,6002,12159,2,2,12584.6867,785,1
A,3000,6002,12116,3,1,6.9467,720,1
A,3000,6002,12116,3,2,6.0667,720,1
A,3000,6002,12116,3,3,6.26,720,1
A,3000,6002,12116,3,4,6.2131,720,1
A,3000,6002,12116,3,5,6.2618,720,1
B,3000,6002,12116,3,1,12753.0844,720,1
B,3000,6002,12116,3,2,12658.8169,720,1
A,3000,6002,12079,4,1,5.3312,706,1
A,3000,6002,12079,4,2,7.2804,706,1
A,3000,6002,12079,4,3,7.859,706,1
A,3000,6002,12079,4,4,6.3197,706,1
A,3000,6002,12079,4,5,7.7876,706,1
B,3000,6002,12079,4,1,13280.4004,706,1
B,3000,6002,12079,4,2,12827.0051,706,1
A,3000,6002,12098,5,1,5.4226,743,1
A,3000,6002,12098,5,2,5.5871,743,1
A,3000,6002,12098,5,3,6.0007,743,1
A,3000,6002,12098,5,4,5.2283,743,1
A,3000,6002,12098,5,5,4.9931,743,1
B,3000,6002,12098,5,1,13095.3901,743,1
B,3000,6002,12098,5,2,13448.2411,743,1
A,10000,20002,40464,1,1,24.8291,1302,1
A,10000,20002,40464,1,2,26.0458,1302,1
A,10000,20002,40464,1,3,27.603,1302,1
A,10000,20002,40464,1,4,23.615,1302,1
A,10000,20002,40464,1,5,23.7858,1302,1
B,10000,20002,40464,1,1,147405.4177,1302,1
